property_type,property_type_citation,location,location_citation,price,price_citation,surface_area,surface_area_citation,description,description_citation,link,link_citation,number_of_rooms,number_of_rooms_citation,reference_number,reference_number_citation
Terrain,https://www.igoeimmobilier.com/property/terrain-a-vendre/,Dékon,https://www.igoeimmobilier.com/property/terrain-a-vendre/,0,https://www.igoeimmobilier.com/property/terrain-a-vendre/,200,https://www.igoeimmobilier.com/property/terrain-a-vendre/,Un terrain clôturé d’une surface de 2a00ca (200m²) en plein centre ville Dékon en face de Canal +,https://www.igoeimmobilier.com/property/terrain-a-vendre/,https://www.igoeimmobilier.com/property/terrain-a-vendre/,https://www.igoeimmobilier.com/property/terrain-a-vendre/,,,,
Appartement,https://www.igoeimmobilier.com/property/a-louer-4/,Hédzranawoé,https://www.igoeimmobilier.com/property/a-louer-4/,400000,https://www.igoeimmobilier.com/property/a-louer-4/,,,Un luxueux appartement situé en plein centre ville dans un quartier sécurisé,https://www.igoeimmobilier.com/property/a-louer-4/,https://www.igoeimmobilier.com/property/a-louer-4/,https://www.igoeimmobilier.com/property/a-louer-4/,2,https://www.igoeimmobilier.com/property/a-louer-4/,,
Studio meublé,https://www.igoeimmobilier.com/property/a-louer-16/,Hédzranawoé,https://www.igoeimmobilier.com/property/a-louer-16/,500000,https://www.igoeimmobilier.com/property/a-louer-16/,,,"Un joli studio meublé et équipé à louer dans un immeuble nouvellement construit, possibilité de faire des séjours et des nuitée.",https://www.igoeimmobilier.com/property/a-louer-16/,https://www.igoeimmobilier.com/property/a-louer-16/,https://www.igoeimmobilier.com/property/a-louer-16/,1,https://www.igoeimmobilier.com/property/a-louer-16/,16,https://www.igoeimmobilier.com/property/a-louer-16/
Appartement,https://www.igoeimmobilier.com/property/a-louer-23/,Hédzranawoé,https://www.igoeimmobilier.com/property/a-louer-23/,250000,https://www.igoeimmobilier.com/property/a-louer-23/,,,Un appartement spacieux au R+2 de deux chambres salon avec une belle cuisine et un balcon,https://www.igoeimmobilier.com/property/a-louer-23/,https://www.igoeimmobilier.com/property/a-louer-23/,https://www.igoeimmobilier.com/property/a-louer-23/,2,https://www.igoeimmobilier.com/property/a-louer-23/,,
Villa,https://www.igoeimmobilier.com/property/a-louer/,Kégué,https://www.igoeimmobilier.com/property/a-louer/,400000,https://www.igoeimmobilier.com/property/a-louer/,600,https://www.igoeimmobilier.com/property/a-louer/,"Villa Duplex de type F6 composée de cinq chambres,un salon, un jardin et un vaste balcon pour vos moments de qualités",https://www.igoeimmobilier.com/property/a-louer/,https://www.igoeimmobilier.com/property/a-louer/,https://www.igoeimmobilier.com/property/a-louer/,5,https://www.igoeimmobilier.com/property/a-louer/,,
Maison / Villa moderne,https://www.igoeimmobilier.com/property/a-louer-2/,Léo 2000,https://www.igoeimmobilier.com/les-annonces/,600000,https://www.igoeimmobilier.com/property/a-louer-2/,,,"Villa moderne de type F6 composée de 5 chambres, 2 salons, 2 cuisines, jardin et terrasse idéale pour tout type d’occupation",https://www.igoeimmobilier.com/property/a-louer-2/,https://www.igoeimmobilier.com/property/a-louer-2/,https://www.igoeimmobilier.com/property/a-louer-2/,5,https://www.igoeimmobilier.com/property/a-louer-2/,,
Maison / Villa avec piscine,https://www.igoeimmobilier.com/property/a-louer-3/,Hédzranawoé,https://www.igoeimmobilier.com/property/a-louer-3/,950000,https://www.igoeimmobilier.com/property/a-louer-3/,,,"Une magnifique villa avec piscine de 5 chambres, 1 salon, 1 jardin, 1 paillote, 1 mezzanine, un réel Havre de paix familial",https://www.igoeimmobilier.com/property/a-louer-3/,https://www.igoeimmobilier.com/property/a-louer-3/,https://www.igoeimmobilier.com/property/a-louer-3/,5,https://www.igoeimmobilier.com/property/a-louer-3/,,
Maison / Villa plein pied,https://www.igoeimmobilier.com/property/3445/,Nyekonakpoe,https://www.igoeimmobilier.com/property/3445/,400000,https://www.igoeimmobilier.com/property/3445/,,,"villa plein pieds de 4 chambres, 1 salon, 1 cuisine et un mini jardin très pratique",https://www.igoeimmobilier.com/property/3445/,https://www.igoeimmobilier.com/property/3445/,https://www.igoeimmobilier.com/property/3445/,4,https://www.igoeimmobilier.com/property/3445/,3445,https://www.igoeimmobilier.com/property/3445/
Villa duplex,https://www.igoeimmobilier.com/property/3485/,Cité Millenium,https://www.igoeimmobilier.com/property/3485/,2500000,https://www.igoeimmobilier.com/property/3485/,,,"Villa duplex de 5 chambres, 1 salon, 1 cuisine, 1 jardin, 1 piscine, 1 garage de 3 voitures",https://www.igoeimmobilier.com/property/3485/,https://www.igoeimmobilier.com/property/3485/,https://www.igoeimmobilier.com/property/3485/,5,https://www.igoeimmobilier.com/property/3485/,3485,https://www.igoeimmobilier.com/property/3485/
Duplex semi-détaché,https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,Agoè Assiyéyé,https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,1000000,https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,,,"découvrez cette belle villa avec piscine, un parfait mélange de confort et de tranquillité pour des moments inoubliables",https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,3,https://www.igoeimmobilier.com/property/decouvrez-cette-belle-villa-avec-piscine-un-parfait-melange-de-confort-et-de-tranquillite-pour-des-moments-inoubliables/,,